,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,기준양,기준열량,탄수화물,지방,단백질,나트륨,콜레스트롤
0,두부김치,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202.41kcal,250 g,288,14,17,19,989,13
1,오리불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279.15kcal,200 g,140,5,7,11,170,45
2,궁중떡볶이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,264.69kcal,100 g,179,36,2,1,421,--
3,김자반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8kcal,13 .3cal,13,1,3,1,36,--
4,깻잎조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98kcal,1 인,80,-,-,3,--,--
5,배추김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,100 g,32,5,-,2,910,--
6,황태채무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16kcal,180 ml,130,9,8,6,95,25
7,복숭아주스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1 캔 (240ml),70,18,-,-,--,--
8,열무김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16kcal,100 g,32,6,-,1,--,--
9,사과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.36kcal,100 g,52,14,-,-,1,--
10,우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,100 ml,65,5,3,3,50,15
11,사골떡왕만둣국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,441.49kcal,1 serving,625,110,11,20,"1,980",122
12,밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,1 줄,240,39,4,9,540,10
13,삼겹살덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,911.88kcal,1 cup (61g),270,40,10,5,"1,050",--
14,오징어젓무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53.06kcal,1 serving cooked,126,8,4,12,332,170
15,배추들깨국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.91kcal,200 ml,120,10,6,6,150,--
16,버섯육개장,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,104.07kcal,1 cup,255,44,6,7,910,5
17,두부양념장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141.91kcal,1 토막,150,-,-,39,39,210
18,사각어묵잡채,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175.03kcal,60 gram,160,19,4,12,670,3
19,맛김,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,1 컵,40,3,2,3,--,--
20,깍두기,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.2kcal,50 g,18,3,-,-,323,--
21,쇠고기갈비찜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793.85kcal,1 인분,317,11,20,20,637,70
22,오이양파장아찌,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5kcal,100 g,39,7,-,1,703,--
23,유산균 발효 음료,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56kcal,2 조각,130,25,2,4,180,15
24,간장계란밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,442.19kcal,300 g,515,88,13,12,--,--
25,소불고기덮밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,624.95kcal,220 g,320,55,6,11,820,25
26,참치김치찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.61kcal,1 Bowl,105,7,4,10,"1,370",10
27,감자매운조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70.93kcal,150 g,109,22,1,2,647,--
28,꼬리곰탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.02kcal,700 g,765,4,37,102,765,251
29,돼지고기장조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,268.01kcal,200 g,128,6,8,8,477,18
30,오이풋고추된장무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56kcal,1 개 중간크기,24,5,2,1,4,--
31,찐만두,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,307.13kcal,1 pack,365,31,22,12,680,--
32,미나리무생채,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.51kcal,75 g,29,5,-,1,246,--
33,이온음료,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8kcal,28 g,108,19,2,3,35,--
34,영양밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.26kcal,20 g,63,4,-,9,220,33
35,계란국,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.75kcal,100 grams,54,2,2,4,283,124
36,호박된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.92kcal,350 g (1중간접시),941,29,59,72,"1,341",189
37,쇠고기육개장,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,99.99kcal,30 g,149,16,8,5,10,--
38,돼지고기김치볶음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171kcal,80 g,105,2,7,6,358,63
39,돼지고기콩나물볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,379.74kcal,100 g,244,11,16,11,272,33
40,고등어순살강정,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,442.74kcal,110 gram,190,-,11,22,85,70
41,쇠고기감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,69.25kcal,1 pack,180,28,1,15,"1,770",50
42,양배추쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.46kcal,1 개,25,2,-,2,--,--
43,닭순살감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,186.87kcal,150 g,109,22,1,2,647,--
44,주스카프리썬 오렌지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60kcal,100 g,30,7,-,-,--,--
45,생수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,500 ml,0,-,-,-,3,--
46,찹쌀밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.95kcal,1 cup,180,42,-,3,--,--
47,고기덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,733.21kcal,1 한접시,440,48,12,28,304,54
48,오징어국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.23kcal,1 bowl,82,-,1,18,282,228
49,버섯쇠고기찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,71.62kcal,400 g,167,15,5,14,"1,293",16
50,돼지고기김치찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,122.87kcal,1 컵,289,37,8,16,106,10
51,비엔나소시지야채볶음,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,304.41kcal,1 dish,240,18,15,7,361,30
52,돼지고기된장불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,390.25kcal,100 g,205,8,6,26,471,80
53,토마토샐러드,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.94kcal,215 g,260,39,7,9,--,--
54,두부조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90.28kcal,50 g,69,2,3,6,250,--
55,얼갈이배추겉절이,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.98kcal,130 ml,110,17,3,4,85,15
56,핫도그빵,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,579.75kcal,50 g,80,-,-,2,90,--
57,초코씨리얼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.64kcal,30 g,120,26,-,2,75,--
58,사골곰탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.71kcal,1 dish,260,7,20,14,--,--
59,파인햄버그스테이크,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.24kcal,200 g,457,20,29,26,950,70
60,콩나물무침,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.84kcal,1 소접시,38,5,1,2,401,--
61,컵과일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54kcal,220 g,68,16,-,1,--,--
62,레몬에이드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26kcal,1 cup,105,26,-,-,--,--
63,건빵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249kcal,31 g,125,24,1,3,--,--
64,닭죽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,455.08kcal,1 팩,365,39,15,18,980,20
65,김치덮밥,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,527.75kcal,1 회,410,73,7,14,970,20
66,오징어채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,105.74kcal,20 g,55,8,-,3,232,33
67,돼지고기고추장볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,399.28kcal,100 g,244,11,16,11,272,33
68,버섯두부탕,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78.56kcal,100 g,36,6,-,2,4,--
69,오이양파무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.05kcal,100 ml,65,4,4,3,50,15
70,고추잡채,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,209.95kcal,150 g,270,11,14,21,254,64
71,닭간장소스찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,198.35kcal,220 g,260,28,8,19,"1,300",100
72,파겉절이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.64kcal,100 g,11,3,-,1,--,--
73,백김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12kcal,0.5 작은 접시 (50g),21,4,-,-,249,--
74,농후 발효유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96kcal,1 병,135,21,4,5,90,15
75,쇠고기미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.5kcal,250 g,70,-,4,7,910,20
76,어묵김칫국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.79kcal,1 봉,35,4,-,3,950,--
77,민어매운탕,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.13kcal,600 g,419,9,16,58,"1,799",375
78,소시지야채볶음,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,223.58kcal,1 dish,240,18,15,7,361,30
79,돈가스,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,534.51kcal,150 g,267,36,6,16,633,23
80,돼지불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,359.64kcal,100 g,205,8,6,26,471,80
81,계란말이,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96.63kcal,1 container,160,40,-,2,25,--
82,야채샐러드,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84.41kcal,1 콘,240,28,13,3,50,20
83,매일두유 뼈로가는고칼슘 검은콩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1 pack,150,13,8,6,170,--
84,떡만둣국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,414.96kcal,1 serving,625,110,11,20,"1,980",122
85,김치콩나물밥,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,506.39kcal,1 cup,15,3,-,1,25,--
86,아욱된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.78kcal,1 인분,55,4,1,6,140,14
87,감자계란국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.42kcal,100 grams,54,2,2,4,283,124
88,더덕구이,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,543.05kcal,100 g,169,-,8,4,892,--
89,닭고기튀김양념,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,558.58kcal,100 g,265,16,16,14,500,40
90,상추쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.61kcal,100 g,12,2,-,1,5,--
91,멜론,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54kcal,0.083 개,38,10,-,1,13,--
92,썬업 파인애플,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100 g,54,13,-,-,11,--
93,잡채볶음밥,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,792.21kcal,1 봉 (200g),490,59,18,21,970,5
94,콩나물김치국,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47.41kcal,1 그릇,90,-,-,-,--,--
95,감자양파찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62.09kcal,1 개,36,8,-,1,2,--
96,단호박튀김,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,334.98kcal,100 g,66,18,-,1,3,--
97,닭강정,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,479.46kcal,250 g,440,63,20,12,--,--
98,매운돼지갈비찜,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,418.82kcal,181 g,274,17,14,20,--,--
99,바싹불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,117.19kcal,110 g,245,31,8,12,580,15
100,자장면,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,808.61kcal,381 g,499,77,15,14,--,--
101,두부맑은국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59.17kcal,150 ml,172,19,5,14,310,--
102,짬뽕찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,123.7kcal,588 g,285,24,13,20,"1,760",20
103,돼지목심폭찹,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,295.75kcal,1 팩,"1,315",-,95,115,335,430
104,탕수육,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,469.6kcal,1 컵,0,-,-,-,37,--
105,데리야끼갈릭치킨,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,506.06kcal,150 g,303,31,11,20,930,--
106,멸치고추장볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.04kcal,1 dish,114,-,-,17,240,--
107,단무지무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.29kcal,100 g,40,5,1,-,857,--
108,대추방울토마토,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17kcal,100 g (4개),19,6,-,1,5,--
109,갓김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52kcal,1 인분,97,16,2,7,658,--
110,비타민음료,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90kcal,100 ml,50,12,-,-,30,--
111,전투식량형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,1 개,339,60,6,12,940,5
112,오징어홍합국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51.49kcal,1 개,163,31,3,2,41,--
113,비엔나소시지찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,223.71kcal,2 개,95,1,8,5,230,15
114,닭고기육개장,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,200.57kcal,155 kal,155,4,11,10,"1,820",20
115,생선묵볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,157.51kcal,0.5 작은접시,88,10,3,5,526,--
116,마파두부,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197.27kcal,10 g,70,-,7,-,--,--
117,아이스크림 떠먹는형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180kcal,1 개 150ml,290,37,14,5,86,18
118,버섯야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100.86kcal,130 g,82,10,4,2,14,--
119,쇠고기무국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46.61kcal,1 봉,75,2,4,6,830,20
120,삼계탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,879.89kcal,800 g,560,24,20,63,"2,160",120
121,게맛살냉채,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.57kcal,5 개,90,4,-,3,--,--
122,풋고추된장무침,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.85kcal,100 g,19,3,-,1,--,--
123,치킨마요덮밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,876.22kcal,1 serving,453,-,-,-,--,--
124,계란찜,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.3kcal,1 dish,168,9,8,12,100,359
125,라면,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,365kcal,1 톨,460,94,5,9,211,--
126,복숭아,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87kcal,1 개 200g,68,-,-,1,4,--
127,현미밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.82kcal,200 g,305,67,1,6,5,--
128,돼지고기감자찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,158.41kcal,1 컵,289,37,8,16,106,10
129,닭매운탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,186.16kcal,100 g,337,59,8,8,84,2
130,오징어볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,154.79kcal,1 컵,85,12,2,3,50,10
131,가지굴소스쇠고기볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,111.69kcal,165 g,190,6,10,18,666,148
132,생선가스,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,468.81kcal,300 g,527,43,20,39,"1,932",296
133,지리멸치볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84.15kcal,1 dish,114,-,-,17,240,--
134,감자튀김,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,451.57kcal,1 캔,15,3,-,1,35,--
135,단호박샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.73kcal,1 컵,195,19,13,1,--,10
136,생야채비빔밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,561.16kcal,1 인분(300g),388,75,3,11,279,113
137,삶은계란,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.28kcal,1 개,68,-,4,5,122,186
138,오곡곡물후레이크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.32kcal,30 g,112,25,-,1,135,--
139,고구마맛탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,399.67kcal,100 g,245,47,5,1,38,--
140,닭갈비,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,247.79kcal,1600 g,"2,030",289,32,132,"1,445",--
141,무생채,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.11kcal,1 pack(190ml),100,4,5,10,120,--
142,조기튀김,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,391.43kcal,1 인분량,100,-,3,18,--,--
143,주스망고코넛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.3kcal,340 ml,204,51,-,-,65,--
144,포도신선형,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.74kcal,2 테이블 스푼,45,1,-,10,70,--
145,김치볶음밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,558.62kcal,1 serving,212,29,8,6,770,50
146,미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13kcal,1 그릇,65,4,4,5,320,17
147,돼지고기감자조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,207.34kcal,200 g,128,6,8,8,477,18
148,패주야채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,267.45kcal,1 소접시,90,-,-,-,--,--
149,치킨샐러드,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,646.37kcal,1 pack,194,16,8,13,"1,194",--
150,스크램블에그,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143.35kcal,220 g,307,32,10,21,569,--
151,도라지오이무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62.96kcal,100 ml,65,4,4,3,50,15
152,주먹밥,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,262.79kcal,1 개,150,23,1,9,--,--
153,불고기버거,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,719.33kcal,1 개 (155 g),399,44,19,16,760,30
154,사인머스켓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54kcal,100 g,66,17,-,-,1,--
155,감자샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.16kcal,270 g,500,29,41,4,500,25
156,쇠고기버섯죽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.44kcal,1 container,840,-,-,-,--,--
157,참치마파두부덮밥,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,221.47kcal,1 cup,390,60,11,13,--,--
158,잡채,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,187.51kcal,10 알,12,-,1,-,--,--
159,한우불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,289.04kcal,247 g,549,60,25,21,"1,100",55
160,오이무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.14kcal,100 ml,65,4,4,3,50,15
161,닭고기부추밥,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,624.14kcal,1 그릇,329,41,11,12,598,105
162,생선묵국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82.86kcal,1 봉지,360,28,26,3,240,--
163,중화식계란탕,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,97.44kcal,400 g,175,5,12,12,964,124
164,떡볶이,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,313.41kcal,1 컵 200ml,84,21,-,-,3,--
165,삼치간장조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81.98kcal,1 캔,90,7,2,11,--,--
166,고구마튀김,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,410.59kcal,115 g,233,37,7,4,302,--
167,아이스크림 팩형,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234kcal,1 개 150ml,290,37,14,5,86,18
168,새우버거,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,931.6kcal,200 mL,120,19,2,5,80,10
169,검은콩밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.26kcal,100 g,381,33,15,36,--,--
170,닭고기미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58.37kcal,430 g,275,51,4,8,"1,370",10
171,김치국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.09kcal,1 대접,26,1,1,1,96,3
172,햄야채볶음,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,179.34kcal,1 소접시,90,-,-,-,--,--
173,콘푸로스트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,30 g,116,26,-,1,160,--
174,오징어튀김,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,425.62kcal,135 ml,230,27,12,3,--,10
175,닭순살야채조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,225.99kcal,1 box,168,23,-,16,255,--
176,부대찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,237.51kcal,167 g,206,35,2,8,--,--
177,낙지불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,103.41kcal,100 g,205,8,6,26,471,80
178,애호박나물,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,88.18kcal,50 g (3.5 tbl),40,-,-,-,--,--
179,칠리새우볶음,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,144.76kcal,93 g,174,17,6,10,158,--
180,야채튀김,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,332.2kcal,20 g,67,16,-,-,2,--
181,감자맛탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,302.89kcal,1 인분,554,71,21,25,785,65
182,상추겉절이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2kcal,43 g,18,3,-,1,106,--
183,쫄면,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,806.03kcal,1 대접,211,43,1,4,501,--
184,닭곰탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,97.01kcal,500 g,52,1,1,9,600,30
185,콩나물국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.02kcal,1 그릇,90,-,-,-,--,--
186,만두튀김,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,567.41kcal,1 인분,467,81,7,17,--,--
187,열무비빔밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,537.91kcal,100 g,403,63,13,6,938,--
188,닭볶음탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,178.83kcal,1 팩,52,11,-,1,3,--
189,햄감자볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,147.24kcal,20 g,124,4,10,3,18,--
190,토마토스크램블에그,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,114.75kcal,220 g,307,32,10,21,569,--
191,고구마샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.33kcal,110 g,165,28,3,1,170,10
192,과일푸딩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126kcal,210 gram,145,36,-,-,--,--
193,햄치즈버거,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,645.38kcal,100 ml,60,4,3,3,46,7
