,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤,맛
0,두부김치,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202.0,9.819444444444445,11.92361111111111,13.32638888888889,693.6736111111111,9.118055555555555,9
1,오리불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279.0,9.964285714285714,13.95,21.92142857142857,338.7857142857143,89.67857142857143,6
2,궁중떡볶이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,265.0,53.29608938547486,2.9608938547486034,1.4804469273743015,623.268156424581,0.0,10
3,김자반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,2.0,6.0,2.0,72.0,0.0,10
4,깻잎조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0.0,0.0,0.975,0.0,0.0,9
5,배추김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1.25,0.0,0.5,227.5,0.0,11
6,황태채무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,6.507692307692308,5.7846153846153845,4.338461538461538,68.6923076923077,18.07692307692308,8
7,복숭아주스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.0,18.0,0.0,0.0,0.0,0.0,9
8,열무김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,2.25,0.0,0.375,0.0,0.0,10
9,사과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,10.5,0.0,0.0,0.75,0.0,8
10,우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,9.384615384615383,5.630769230769231,5.630769230769231,93.84615384615384,28.153846153846157,7
11,사골떡왕만둣국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,441.0,77.616,7.7616,14.112,1397.088,86.0832,5
12,밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.0,58.9875,6.05,13.6125,816.75,15.125,8
13,삼겹살덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,912.0,135.11111111111111,33.77777777777778,16.88888888888889,3546.6666666666665,0.0,9
14,오징어젓무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53.0,3.365079365079365,1.6825396825396826,5.047619047619048,139.65079365079364,71.5079365079365,7
15,배추들깨국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,3.8333333333333335,2.3,2.3,57.5,0.0,6
16,버섯육개장,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,104.0,17.945098039215686,2.447058823529412,2.854901960784314,371.1372549019608,2.0392156862745097,10
17,두부양념장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0,0.0,0.0,36.92,36.92,198.8,10
18,사각어묵잡채,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,20.78125,4.375,13.125,732.8125,3.28125,7
19,맛김,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,3.0,2.0,3.0,0.0,0.0,8
20,깍두기,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0,2.5,0.0,0.0,269.1666666666667,0.0,11
21,쇠고기갈비찜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.0,27.55205047318612,50.094637223974765,50.094637223974765,1595.514195583596,175.33123028391168,6
22,오이양파장아찌,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,3.948717948717949,0.0,0.5641025641025641,396.56410256410254,0.0,8
23,유산균 발효 음료,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,10.76923076923077,0.8615384615384616,1.7230769230769232,77.53846153846153,6.461538461538462,7
24,간장계란밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,442.0,75.526213592233,11.157281553398056,10.299029126213592,0.0,0.0,8
25,소불고기덮밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,625.0,107.421875,11.71875,21.484375,1601.5625,48.828125,8
26,참치김치찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,4.066666666666666,2.323809523809524,5.809523809523809,795.9047619047619,5.809523809523809,10
27,감자매운조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,14.3302752293578,0.6513761467889908,1.3027522935779816,421.4403669724771,0.0,6
28,꼬리곰탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.0,2.9019607843137254,26.84313725490196,74.0,555.0,182.09803921568627,10
29,돼지고기장조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,268.0,12.5625,16.75,16.75,998.71875,37.6875,10
30,오이풋고추된장무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,15.416666666666666,6.166666666666667,3.083333333333333,12.333333333333334,0.0,7
31,찐만두,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,307.0,26.07397260273973,18.504109589041096,10.093150684931508,571.945205479452,0.0,9
32,미나리무생채,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,7.068965517241379,0.0,1.4137931034482758,347.7931034482759,0.0,7
33,이온음료,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,10.37962962962963,1.0925925925925926,1.6388888888888888,19.12037037037037,0.0,7
34,영양밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.0,24.38095238095238,0.0,54.85714285714285,1340.952380952381,201.14285714285717,10
35,계란국,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,2.4444444444444446,2.4444444444444446,4.888888888888889,345.8888888888889,151.55555555555554,10
36,호박된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,1.879914984059511,3.824654622741764,4.667375132837407,86.92986184909671,12.251859723698193,10
37,쇠고기육개장,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0,10.738255033557047,5.369127516778524,3.355704697986577,6.711409395973154,0.0,7
38,돼지고기김치볶음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.0,3.257142857142857,11.4,9.771428571428572,583.0285714285715,102.6,9
39,돼지고기콩나물볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,380.0,17.131147540983605,24.918032786885245,17.131147540983605,423.6065573770492,51.39344262295082,8
40,고등어순살강정,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,443.0,0.0,25.647368421052636,51.29473684210527,198.18421052631575,163.21052631578948,7
41,쇠고기감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,69.0,10.733333333333333,0.3833333333333333,5.75,678.5,19.166666666666668,9
42,양배추쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,4.32,0.0,4.32,0.0,0.0,9
43,닭순살감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,187.0,37.74311926605505,1.7155963302752293,3.4311926605504586,1109.9908256880733,0.0,5
44,주스카프리썬 오렌지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,14.0,0.0,0.0,0.0,0.0,7
45,생수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8
46,찹쌀밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.0,88.9,0.0,6.35,0.0,0.0,9
47,고기덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,733.0,79.96363636363637,19.99090909090909,46.64545454545455,506.4363636363637,89.9590909090909,8
48,오징어국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.0,0.0,0.8292682926829268,14.926829268292684,233.85365853658536,189.0731707317073,10
49,버섯쇠고기찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,72.0,6.467065868263473,2.155688622754491,6.035928143712575,557.4610778443114,6.898203592814372,8
50,돼지고기김치찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,123.0,15.747404844290658,3.40484429065744,6.809688581314879,45.11418685121107,4.256055363321799,9
51,비엔나소시지야채볶음,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,304.0,22.8,19.0,8.866666666666667,457.26666666666665,38.0,5
52,돼지고기된장불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,390.0,15.21951219512195,11.414634146341465,49.46341463414634,896.0487804878048,152.1951219512195,7
53,토마토샐러드,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0,3.0,0.5384615384615384,0.6923076923076923,0.0,0.0,10
54,두부조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,2.608695652173913,3.9130434782608696,7.826086956521739,326.0869565217391,0.0,9
55,얼갈이배추겉절이,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31.0,4.790909090909091,0.8454545454545455,1.1272727272727272,23.954545454545453,4.227272727272728,9
56,핫도그빵,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,580.0,0.0,0.0,14.5,652.5,0.0,9
57,초코씨리얼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.0,35.31666666666667,0.0,2.716666666666667,101.875,0.0,9
58,사골곰탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,3.661538461538461,10.461538461538462,7.323076923076923,0.0,0.0,7
59,파인햄버그스테이크,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0,2.231947483588621,3.236323851203501,2.901531728665208,106.01750547045953,7.811816192560175,7
60,콩나물무침,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,4.605263157894737,0.9210526315789472,1.8421052631578947,369.3421052631579,0.0,10
61,컵과일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,12.705882352941176,0.0,0.7941176470588235,0.0,0.0,9
62,레몬에이드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,6.438095238095238,0.0,0.0,0.0,0.0,11
63,건빵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.0,47.808,1.992,5.976,0.0,0.0,8
64,닭죽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,455.0,48.61643835616438,18.698630136986303,22.438356164383563,1221.6438356164383,24.931506849315067,10
65,김치덮밥,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,528.0,94.00975609756098,9.014634146341464,18.029268292682925,1249.1707317073171,25.75609756097561,9
66,오징어채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,106.0,15.418181818181818,0.0,5.781818181818182,447.1272727272727,63.6,8
67,돼지고기고추장볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,399.0,17.987704918032787,26.16393442622951,17.987704918032787,444.78688524590166,53.96311475409836,8
68,버섯두부탕,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79.0,13.166666666666666,0.0,4.388888888888889,8.777777777777779,0.0,6
69,오이양파무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,3.9384615384615382,3.9384615384615382,2.953846153846154,49.23076923076923,14.76923076923077,9
70,고추잡채,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,210.0,8.555555555555555,10.88888888888889,16.333333333333332,197.55555555555557,49.77777777777778,9
71,닭간장소스찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,198.0,21.32307692307692,6.092307692307692,14.46923076923077,990.0,76.15384615384616,6
72,파겉절이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,9.545454545454543,0.0,3.1818181818181817,0.0,0.0,9
73,백김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,2.857142857142857,0.0,0.0,177.85714285714286,0.0,10
74,농후 발효유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,14.933333333333334,2.844444444444445,3.555555555555556,64.0,10.666666666666666,8
75,쇠고기미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.0,0.0,1.2571428571428571,2.2,286.0,6.285714285714286,8
76,어묵김칫국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,10.857142857142858,0.0,8.142857142857142,2578.5714285714284,0.0,7
77,민어매운탕,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,0.9021479713603818,1.60381861575179,5.813842482100239,180.3293556085919,37.58949880668258,11
78,소시지야채볶음,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,224.0,16.8,14.0,6.533333333333333,336.93333333333334,28.0,9
79,돈가스,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,535.0,72.13483146067416,12.02247191011236,32.059925093632955,1268.370786516854,46.08614232209738,10
80,돼지불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,360.0,14.048780487804878,10.53658536585366,45.65853658536585,827.1219512195122,140.4878048780488,10
81,계란말이,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,97.0,24.25,0.0,1.2125,15.15625,0.0,10
82,야채샐러드,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84.0,9.8,4.55,1.05,17.5,7.0,10
83,매일두유 뼈로가는고칼슘 검은콩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.0,13.0,8.0,6.0,170.0,0.0,6
84,떡만둣국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,415.0,73.04,7.304,13.28,1314.72,81.008,9
85,김치콩나물밥,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,506.0,101.2,0.0,33.733333333333334,843.3333333333334,0.0,8
86,아욱된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,3.5636363636363635,0.8909090909090909,5.345454545454546,124.72727272727272,12.472727272727273,10
87,감자계란국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,2.3703703703703702,2.3703703703703702,4.7407407407407405,335.4074074074074,146.96296296296296,8
88,더덕구이,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,543.0,0.0,25.70414201183432,12.85207100591716,2866.0118343195268,0.0,11
89,닭고기튀김양념,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,559.0,33.75094339622642,33.75094339622642,29.532075471698118,1054.7169811320755,84.37735849056604,7
90,상추쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,11.5,0.0,5.75,28.75,0.0,9
91,멜론,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,14.210526315789474,0.0,1.4210526315789471,18.473684210526315,0.0,7
92,썬업 파인애플,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,13.0,0.0,0.0,11.0,0.0,7
93,잡채볶음밥,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,792.0,95.36326530612244,29.09387755102041,33.94285714285714,1567.8367346938776,8.081632653061224,9
94,콩나물김치국,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47.0,0.0,0.0,0.0,0.0,0.0,8
95,감자양파찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,13.77777777777778,0.0,1.7222222222222223,3.4444444444444446,0.0,6
96,단호박튀김,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,335.0,91.36363636363636,0.0,5.075757575757576,15.227272727272728,0.0,9
97,닭강정,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,479.0,68.5840909090909,21.772727272727277,13.063636363636364,0.0,0.0,11
98,매운돼지갈비찜,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,419.0,25.996350364963504,21.40875912408759,30.583941605839417,0.0,0.0,10
99,바싹불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,117.0,14.80408163265306,3.820408163265306,5.73061224489796,276.9795918367347,7.163265306122449,10
100,자장면,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,809.0,124.83567134268536,24.318637274549097,22.69739478957916,0.0,0.0,10
101,두부맑은국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59.0,6.517441860465116,1.7151162790697674,4.8023255813953485,106.33720930232558,0.0,5
102,짬뽕찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,124.0,10.442105263157895,5.656140350877193,8.701754385964913,765.7543859649123,8.701754385964913,8
103,돼지목심폭찹,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,296.0,0.0,21.38403041825095,25.88593155893536,75.40684410646388,96.79087452471482,7
104,탕수육,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,469.6,51.44,19.02,21.45,335.17,69.12,11
105,데리야끼갈릭치킨,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,506.0,51.76897689768977,18.36963696369637,33.3993399339934,1553.069306930693,0.0,7
106,멸치고추장볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0.0,0.0,14.763157894736842,208.42105263157896,0.0,9
107,단무지무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,3.125,0.625,0.0,535.625,0.0,9
108,대추방울토마토,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.0,5.368421052631579,0.0,0.8947368421052632,4.473684210526316,0.0,8
109,갓김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,1.9793814432989687,0.2474226804123711,0.865979381443299,81.4020618556701,0.0,11
110,비타민음료,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,21.6,0.0,0.0,54.0,0.0,10
111,전투식량형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.0,60.0,6.0,12.0,940.0,5.0,4
112,오징어홍합국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51.0,9.699386503067483,0.9386503067484664,0.6257668711656442,12.828220858895705,0.0,5
113,비엔나소시지찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,224.0,2.357894736842105,18.86315789473684,11.789473684210526,542.3157894736842,35.36842105263158,6
114,닭고기육개장,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,201.0,5.187096774193549,14.264516129032256,12.96774193548387,2360.1290322580644,25.93548387096774,7
115,생선묵볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0,17.954545454545453,5.386363636363637,8.977272727272727,944.4090909090908,0.0,5
116,마파두부,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197.0,0.0,19.7,0.0,0.0,0.0,10
117,아이스크림 떠먹는형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,22.96551724137931,8.689655172413794,3.103448275862069,53.37931034482759,11.172413793103448,5
118,버섯야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,101.0,12.317073170731708,4.926829268292683,2.463414634146341,17.24390243902439,0.0,7
119,쇠고기무국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.0,1.2533333333333334,2.506666666666667,3.76,520.1333333333333,12.533333333333331,9
120,삼계탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,880.0,37.71428571428572,31.428571428571427,99.0,3394.285714285714,188.57142857142856,11
121,게맛살냉채,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,2.844444444444445,0.0,2.1333333333333333,0.0,0.0,8
122,풋고추된장무침,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,6.473684210526316,0.0,2.1578947368421053,0.0,0.0,8
123,치킨마요덮밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,876.0,0.0,0.0,0.0,0.0,0.0,9
124,계란찜,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.0,4.178571428571429,3.7142857142857135,5.571428571428571,46.42857142857143,166.67857142857142,10
125,라면,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,365.0,74.58695652173913,3.967391304347826,7.141304347826087,167.42391304347825,0.0,10
126,복숭아,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87.0,0.0,0.0,1.2794117647058822,5.117647058823529,0.0,8
127,현미밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.0,83.03606557377049,1.239344262295082,7.436065573770492,6.19672131147541,0.0,9
128,돼지고기감자찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,158.0,20.228373702422147,4.373702422145329,8.747404844290658,57.951557093425606,5.467128027681661,9
129,닭매운탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,186.0,32.56379821958457,4.415430267062314,4.415430267062314,46.36201780415431,1.1038575667655786,10
130,오징어볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,155.0,21.88235294117647,3.647058823529412,5.470588235294118,91.17647058823528,18.235294117647054,9
131,가지굴소스쇠고기볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,112.0,3.536842105263158,5.894736842105263,10.610526315789471,392.5894736842105,87.2421052631579,5
132,생선가스,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,469.0,38.26755218216319,17.798861480075903,34.70777988614801,1719.370018975332,263.4231499051233,9
133,지리멸치볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0.0,0.0,12.526315789473683,176.8421052631579,0.0,8
134,감자튀김,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,452.0,90.4,0.0,30.133333333333333,1054.6666666666667,0.0,9
135,단호박샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,11.497435897435896,7.866666666666666,0.6051282051282051,0.0,6.051282051282051,10
136,생야채비빔밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,561.0,108.44072164948452,4.337628865979381,15.904639175257731,403.39948453608247,163.3840206185567,6
137,삶은계란,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0.0,4.117647058823529,5.147058823529412,125.58823529411764,191.4705882352941,9
138,오곡곡물후레이크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0,35.044642857142854,0.0,1.4017857142857142,189.24107142857144,0.0,6
139,고구마맛탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400.0,76.73469387755102,8.16326530612245,1.6326530612244898,62.04081632653061,0.0,10
140,닭갈비,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,248.0,35.306403940886696,3.90935960591133,16.126108374384238,176.5320197044335,0.0,11
141,무생채,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,1.44,1.8,3.6,43.2,0.0,10
142,조기튀김,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,391.0,0.0,11.73,70.38,0.0,0.0,8
143,주스망고코넛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,30.5,0.0,0.0,38.872549019607845,0.0,5
144,포도신선형,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32.0,0.7111111111111111,0.0,7.111111111111111,49.77777777777778,0.0,1
145,김치볶음밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,559.0,76.46698113207547,21.09433962264151,15.820754716981131,2030.330188679245,131.83962264150944,11
146,미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0.8,0.8,1.0,64.0,3.4,11
147,돼지고기감자조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,207.0,9.703125,12.9375,12.9375,771.3984375,29.109375,8
148,패주야채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,267.0,0.0,0.0,0.0,0.0,0.0,6
149,치킨샐러드,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,646.0,53.27835051546392,26.63917525773196,43.28865979381443,3975.896907216495,0.0,10
150,스크램블에그,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143.0,14.905537459283387,4.657980456026059,9.781758957654723,265.0390879478828,0.0,9
151,도라지오이무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,3.876923076923077,3.876923076923077,2.907692307692308,48.46153846153846,14.538461538461538,8
152,주먹밥,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,263.0,40.32666666666667,1.7533333333333334,15.78,0.0,0.0,9
153,불고기버거,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,719.0,79.28822055137844,34.23809523809524,28.83208020050125,1369.5238095238096,54.06015037593985,9
154,사인머스켓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,13.909090909090908,0.0,0.0,0.8181818181818182,0.0,8
155,감자샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,7.714,10.906,1.064,133.0,6.65,10
156,쇠고기버섯죽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.0,0.0,0.0,0.0,0.0,0.0,7
157,참치마파두부덮밥,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,221.0,34.0,6.233333333333333,7.366666666666666,0.0,0.0,6
158,잡채,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,188.0,0.0,15.666666666666666,0.0,0.0,0.0,9
159,한우불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,289.0,31.584699453551917,13.160291438979964,11.05464480874317,579.0528233151184,28.95264116575592,10
160,오이무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,2.4615384615384617,2.4615384615384617,1.8461538461538465,30.76923076923077,9.23076923076923,8
